Catalog of Fluxes for Abell 2218 using /data/mercado/SPIRE/hermes_clusters/a2218_PSW_nr_1.fits 
Mean percent error of XID flux with HeDam Flux is: 113.47734263724601 
Source Num     Pixel x          Pixel y     HeDam Flux         XID flux     DAO flux     Peak Flux 
173              221.44639       92.88846       0.01179          0.00160        0.01336        0.01079  
174              81.90314       93.95804       0.00000          0.02144        0.01801        0.01724  
175              63.46415       94.82455       0.02953          0.00725        0.03076        0.01179  
176              95.49649       95.04860       0.00000          0.01384        0.01904        0.02015  
177              150.33660       95.27255       0.00884          0.00347        0.00773        0.01028  
178              160.77140       94.56048       0.02424          0.00356        0.02881        0.01249  
179              170.47655       95.35428       0.00812          0.01288        0.01676        0.01136  
180              227.25715       95.43922       0.00000          0.00656        0.01178        0.01079  
181              97.44031       95.88253       0.00000          0.03209        0.02152        0.01157  
182              165.37828       97.20626       0.00000          0.01043        0.00685        0.01249  
183              208.81290       96.00940       0.00000          0.00218        0.00449        0.00963  
184              53.52868       97.16048       0.00000          0.00189        0.00431        0.01179  
185              76.58324       98.24076       0.00000          0.00727        0.00719        0.02584  
186              136.99227       98.51285       0.00000          0.01017        0.01592        0.01515  
187              150.33595       96.83255       0.00563          0.00338        0.00771        0.01028  
188              177.26589       97.58763       0.05213          0.02986        0.02886        0.01259  
189              200.31358       97.83556       0.02028          0.00246        0.02335        0.01742  
190              43.59901       99.92291       0.00000          0.00657        0.01243        0.00940  
191              59.60526       99.10557       0.00837          0.00229        0.01045        0.01197  
192              95.50568       97.92860       0.00000          0.02002        0.00785        0.02015  
193              194.48852       98.53510       0.01044          0.00554        0.01220        0.01742  
194              34.86186       99.38313       0.00684          0.00176        0.01054        0.00940  
195              102.30451       100.00844       0.01281          0.01414        0.01971        0.01632  
196              107.88619       101.01415       0.00000          0.01268        0.00689        0.03595  
197              163.91909       99.84429       0.00000          0.00707        0.01021        0.01249  
198              167.31528       99.78912       0.00000          0.01192        0.00690        0.01136  
199              185.99338       100.00926       0.01040          0.00302        0.01188        0.01259  
200              233.05648       99.61218       0.00000          0.00505        0.01513        0.01332  
201              241.78369       100.56586       0.00000          0.00357        0.00444        0.00935  
202              41.90902       101.13420       0.01388          0.00437        0.01932        0.00940  
203              65.19203       100.45559       0.00000          0.00223        0.01251        0.01197  
204              178.47243       100.47034       0.05213          0.02558        0.00760        0.01259  
205              220.43547       100.86348       0.00000          0.00257        0.00619        0.03534  
206              225.76572       102.03125       0.00000          0.00819        0.03131        0.03534  
207              50.88522       101.31655       0.00247          0.00211        0.00661        0.00933  
208              122.68303       101.46619       0.01730          0.04632        0.01961        0.02492  
209              130.44578       102.65728       0.00000          0.01474        0.01295        0.01342  
210              212.90647       102.92750       0.00806          0.00384        0.01196        0.01118  
211              240.56321       101.75808       0.00000          0.00836        0.02220        0.03822  
212              77.81640       102.85539       0.00023          0.00596        0.02607        0.02584  
213              206.84223       103.14121       0.01161          0.00641        0.01811        0.00963  
214              99.16236       103.85741       0.00906          0.00322        0.01071        0.01632  
215              112.01577       103.88491       0.04478          0.03185        0.04358        0.03595  
216              155.91057       104.21591       0.00000          0.00141        0.00556        0.01249  
217              174.10013       103.52106       0.00701          0.00727        0.01378        0.01165  
218              193.25800       103.93110       0.00000          0.00260        0.00483        0.01742  
219              62.54404       104.24963       0.00000          0.00179        0.00587        0.01197  
220              134.81261       104.69402       0.00000          0.03710        0.02497        0.01163  
221              144.75515       104.63126       0.04042          0.01856        0.03802        0.02668  
222              226.72250       104.49648       0.00708          0.02564        0.02348        0.01079  
223              86.07322       105.64170       0.05979          0.02306        0.03937        0.04252  
224              204.89768       104.21330       0.01161          0.00375        0.00490        0.00963  
225              188.88371       106.97756       0.00999          0.00441        0.01221        0.01060  
226              237.13108       107.67680       0.00000          0.00211        0.00497        0.03822  
227              69.83633       107.69233       0.02445          0.00522        0.01997        0.00984  
228              88.99263       108.27087       0.00000          0.03496        0.02039        0.01055  
229              100.87139       107.87248       0.01073          0.00304        0.01200        0.00887  
230              128.02815       109.97964       0.06938          0.03015        0.00530        0.06093  
231              182.09304       107.61901       0.00888          0.00386        0.00782        0.01165  
232              47.78028       108.95608       0.00000          0.00324        0.00681        0.00933  
233              56.02516       109.26608       0.01008          0.00355        0.01655        0.00933  
234              105.96450       108.51887       0.00000          0.00191        0.00548        0.00887  
235              118.08713       108.85335       0.00726          0.02407        0.01951        0.01294  
236              138.69426       109.37217       0.02418          0.01169        0.01425        0.01147  
237              166.57336       109.32802       0.01474          0.01626        0.01792        0.02873  
