Field,IAU,RA,Dec,F350,e_F350
CD-Abell-2218,2HERMES S350 SF J163457.0+660905,248.73782,66.15161,8.076532,0.4176918
CD-Abell-2218,2HERMES S350 SF J163457.7+661221,248.74062,66.20595,15.629285,0.43535876
CD-Abell-2218,2HERMES S350 SF J163457.7+662133,248.7408,66.35931,17.562464,0.7237327
CD-Abell-2218,2HERMES S350 SF J163457.8+660815,248.74121,66.137665,5.0601077,0.5064706
CD-Abell-2218,2HERMES S350 SF J163458.5+661516,248.74406,66.25455,3.5414417,0.4946391
CD-Abell-2218,2HERMES S350 SF J163458.8+661840,248.74525,66.31123,11.683884,0.59489995
CD-Abell-2218,2HERMES S350 SF J163459.0+661116,248.74603,66.18793,13.996537,0.4575197
CD-Abell-2218,2HERMES S350 SF J163459.0+661444,248.74617,66.24559,12.980415,0.47896782
CD-Abell-2218,2HERMES S350 SF J163459.0+661753,248.74612,66.2982,1.5785654,0.6201346
CD-Abell-2218,2HERMES S350 SF J163459.2+661354,248.74698,66.23169,41.03097,0.45164314
CD-Abell-2218,2HERMES S350 SF J163459.8+661813,248.74919,66.3037,8.6878195,0.60741717
CD-Abell-2218,2HERMES S350 SF J163500.4+661305,248.75182,66.2183,6.47792,0.42484036
CD-Abell-2218,2HERMES S350 SF J163500.8+662231,248.75345,66.37547,8.395865,0.5670753
CD-Abell-2218,2HERMES S350 SF J163500.9+660831,248.75383,66.14207,3.6503723,0.4629133
CD-Abell-2218,2HERMES S350 SF J163501.0+660717,248.75456,66.121414,4.298121,0.44862685
CD-Abell-2218,2HERMES S350 SF J163501.7+661042,248.75731,66.17855,6.7223296,0.8868095
CD-Abell-2218,2HERMES S350 SF J163501.7+661504,248.75737,66.25132,16.019674,0.48215294
CD-Abell-2218,2HERMES S350 SF J163502.0+661050,248.75836,66.18083,6.6238527,0.89118814
CD-Abell-2218,2HERMES S350 SF J163503.0+660910,248.76276,66.152855,9.30498,0.42739144
CD-Abell-2218,2HERMES S350 SF J163503.0+660940,248.76288,66.16134,0,0.72942764
CD-Abell-2218,2HERMES S350 SF J163503.1+661415,248.76294,66.23775,4.1032057,0.4194295
CD-Abell-2218,2HERMES S350 SF J163503.2+661205,248.76334,66.20156,15.6111,0.4655891
CD-Abell-2218,2HERMES S350 SF J163503.3+661828,248.76408,66.30798,6.9024496,0.4987896
CD-Abell-2218,2HERMES S350 SF J163503.7+661629,248.76546,66.2749,6.4565334,0.41156352
CD-Abell-2218,2HERMES S350 SF J163505.1+661738,248.77145,66.2941,8.592298,0.7027276
CD-Abell-2218,2HERMES S350 SF J163505.2+661709,248.77202,66.285995,21.07958,0.50020003
CD-Abell-2218,2HERMES S350 SF J163505.6+661325,248.77371,66.223885,8.600349,0.4162523
CD-Abell-2218,2HERMES S350 SF J163506.1+660647,248.77553,66.11308,26.859571,0.4887917
CD-Abell-2218,2HERMES S350 SF J163506.2+661728,248.77614,66.29138,18.945967,0.75051826
CD-Abell-2218,2HERMES S350 SF J163506.4+660526,248.77705,66.09074,10.361289,0.55038524
CD-Abell-2218,2HERMES S350 SF J163506.5+661450,248.7771,66.2473,10.450129,0.41695628
CD-Abell-2218,2HERMES S350 SF J163506.6+662157,248.77763,66.365875,11.031094,0.5532491
CD-Abell-2218,2HERMES S350 SF J163506.7+661222,248.77803,66.20618,15.536305,0.43694517
CD-Abell-2218,2HERMES S350 SF J163506.8+661601,248.77863,66.26702,8.859225,0.45207927
CD-Abell-2218,2HERMES S350 SF J163506.8+662008,248.77864,66.335594,11.030788,0.58531266
CD-Abell-2218,2HERMES S350 SF J163506.9+661815,248.7789,66.304375,4.9352508,0.47628227
CD-Abell-2218,2HERMES S350 SF J163507.1+660449,248.77972,66.08034,9.18898,0.77451897
CD-Abell-2218,2HERMES S350 SF J163507.2+662224,248.78008,66.373535,19.1975,0.66634953
CD-Abell-2218,2HERMES S350 SF J163507.8+661653,248.78284,66.28163,11.71269,0.4866151
CD-Abell-2218,2HERMES S350 SF J163507.9+660958,248.78314,66.16621,9.805398,0.47414324
CD-Abell-2218,2HERMES S350 SF J163508.3+660744,248.78494,66.12889,4.66095,0.43075758
CD-Abell-2218,2HERMES S350 SF J163508.7+661158,248.78665,66.19954,8.005248,0.4242768
CD-Abell-2218,2HERMES S350 SF J163509.4+660810,248.78952,66.1363,19.626324,0.39862797
CD-Abell-2218,2HERMES S350 SF J163509.7+661253,248.7907,66.21492,12.567891,0.4299182
CD-Abell-2218,2HERMES S350 SF J163509.8+661632,248.79106,66.27573,21.14998,0.5522299
CD-Abell-2218,2HERMES S350 SF J163509.8+662244,248.79086,66.37901,29.385532,0.59949493
CD-Abell-2218,2HERMES S350 SF J163509.9+661320,248.79126,66.2224,16.317541,0.41567516
CD-Abell-2218,2HERMES S350 SF J163510.8+660635,248.7953,66.109955,21.150982,0.536737
CD-Abell-2218,2HERMES S350 SF J163510.8+661507,248.79512,66.2522,7.4154134,0.41326746
CD-Abell-2218,2HERMES S350 SF J163511.0+662131,248.79616,66.35879,7.21433,0.52392805
CD-Abell-2218,2HERMES S350 SF J163511.4+660527,248.79779,66.09085,10.822215,0.6115322
CD-Abell-2218,2HERMES S350 SF J163511.5+661712,248.79823,66.28676,6.3914943,0.4650217
CD-Abell-2218,2HERMES S350 SF J163511.9+660921,248.79977,66.15598,6.8150735,0.42107278
CD-Abell-2218,2HERMES S350 SF J163512.5+661628,248.8024,66.274536,30.28643,0.553952
CD-Abell-2218,2HERMES S350 SF J163512.9+661807,248.804,66.301956,10.218607,0.477042
CD-Abell-2218,2HERMES S350 SF J163513.1+661235,248.80489,66.20999,15.727785,0.4386563
CD-Abell-2218,2HERMES S350 SF J163513.4+661202,248.8059,66.20081,15.251961,0.43382034
CD-Abell-2218,2HERMES S350 SF J163514.0+661531,248.80873,66.25868,12.131028,0.4216867
CD-Abell-2218,2HERMES S350 SF J163514.4+662030,248.81017,66.34169,9.805858,0.62320435
CD-Abell-2218,2HERMES S350 SF J163514.5+661356,248.81055,66.23244,7.8127575,0.41062796
CD-Abell-2218,2HERMES S350 SF J163514.6+662108,248.81116,66.35241,34.868176,0.5686341
CD-Abell-2218,2HERMES S350 SF J163514.8+660648,248.81203,66.11347,25.202402,0.49860615
CD-Abell-2218,2HERMES S350 SF J163514.9+661436,248.81226,66.24356,4.974531,0.4727905
CD-Abell-2218,2HERMES S350 SF J163515.0+661000,248.81256,66.166885,6.076778,0.41559267
CD-Abell-2218,2HERMES S350 SF J163515.8+661555,248.81593,66.265434,9.370611,0.41936442
CD-Abell-2218,2HERMES S350 SF J163516.5+660823,248.81908,66.13996,4.1556597,0.41239458
CD-Abell-2218,2HERMES S350 SF J163516.7+661948,248.81975,66.33023,18.81856,0.6505254
CD-Abell-2218,2HERMES S350 SF J163516.8+661926,248.82033,66.32404,9.501595,0.5933401
CD-Abell-2218,2HERMES S350 SF J163516.9+661301,248.82077,66.21716,14.025593,0.48644996
CD-Abell-2218,2HERMES S350 SF J163517.0+660918,248.82104,66.15503,12.609184,0.42423087
CD-Abell-2218,2HERMES S350 SF J163517.1+660627,248.82152,66.1077,5.5835676,0.54017943
CD-Abell-2218,2HERMES S350 SF J163517.3+661900,248.82239,66.31682,4.996117,0.5198965
CD-Abell-2218,2HERMES S350 SF J163517.3+662036,248.82228,66.34345,7.594756,0.69358677
CD-Abell-2218,2HERMES S350 SF J163517.6+661243,248.82365,66.21211,12.534899,0.49774987
CD-Abell-2218,2HERMES S350 SF J163517.9+661443,248.82475,66.24538,7.643388,0.5832918
CD-Abell-2218,2HERMES S350 SF J163517.9+661501,248.82494,66.2503,15.762025,0.499718
CD-Abell-2218,2HERMES S350 SF J163518.1+660854,248.82555,66.14847,12.788466,0.5252521
CD-Abell-2218,2HERMES S350 SF J163518.8+661412,248.8285,66.23687,23.732262,0.41449565
CD-Abell-2218,2HERMES S350 SF J163519.0+662003,248.82932,66.33425,12.855953,0.55901545
CD-Abell-2218,2HERMES S350 SF J163519.6+660705,248.83188,66.11807,5.1528172,0.48364663
CD-Abell-2218,2HERMES S350 SF J163520.1+660903,248.83415,66.15098,35.785316,0.5277177
CD-Abell-2218,2HERMES S350 SF J163520.3+661216,248.8348,66.20459,9.300575,0.43733335
CD-Abell-2218,2HERMES S350 SF J163520.6+662114,248.836,66.354004,14.553904,0.6399313
CD-Abell-2218,2HERMES S350 SF J163520.8+661326,248.83708,66.22394,11.080759,0.45332983
CD-Abell-2218,2HERMES S350 SF J163521.4+661008,248.83932,66.16914,7.4799323,0.40537915
CD-Abell-2218,2HERMES S350 SF J163521.4+661439,248.83955,66.2444,7.266339,0.48465377
CD-Abell-2218,2HERMES S350 SF J163521.5+660646,248.8398,66.11281,11.581879,0.49884766
CD-Abell-2218,2HERMES S350 SF J163521.6+662230,248.84036,66.37524,13.991842,0.7027761
CD-Abell-2218,2HERMES S350 SF J163521.7+661238,248.84042,66.21075,9.083204,0.4504272
CD-Abell-2218,2HERMES S350 SF J163522.1+661721,248.84239,66.28927,0,0.43550608
CD-Abell-2218,2HERMES S350 SF J163522.2+660732,248.84264,66.12566,11.093881,0.47671288
CD-Abell-2218,2HERMES S350 SF J163522.6+660937,248.84425,66.16029,12.898697,0.42933494
CD-Abell-2218,2HERMES S350 SF J163522.9+661346,248.84566,66.229614,24.945782,0.44549358
CD-Abell-2218,2HERMES S350 SF J163522.9+662050,248.84576,66.34739,15.223521,0.5856457
CD-Abell-2218,2HERMES S350 SF J163523.0+661541,248.84608,66.26152,0,0.42007923
CD-Abell-2218,2HERMES S350 SF J163523.1+660601,248.84644,66.100426,6.412288,0.51081467
CD-Abell-2218,2HERMES S350 SF J163523.6+661819,248.84846,66.305466,4.0055785,0.49396798
CD-Abell-2218,2HERMES S350 SF J163524.4+661321,248.852,66.22253,7.0372415,0.44227415
CD-Abell-2218,2HERMES S350 SF J163524.6+662203,248.85258,66.367744,27.916628,0.74437237
CD-Abell-2218,2HERMES S350 SF J163524.9+661214,248.85378,66.20394,6.8866777,0.41774675
CD-Abell-2218,2HERMES S350 SF J163524.9+661958,248.85393,66.332886,17.660135,0.5702424
CD-Abell-2218,2HERMES S350 SF J163525.2+661430,248.8552,66.24186,16.37386,0.44565076
CD-Abell-2218,2HERMES S350 SF J163525.2+662020,248.85512,66.33911,23.112535,0.5955127
CD-Abell-2218,2HERMES S350 SF J163525.4+660347,248.85602,66.06309,6.664894,0.6329503
CD-Abell-2218,2HERMES S350 SF J163525.4+660720,248.85588,66.122406,10.619276,0.4828009
CD-Abell-2218,2HERMES S350 SF J163525.8+660652,248.85786,66.114456,8.360308,0.5254085
CD-Abell-2218,2HERMES S350 SF J163526.1+660850,248.85898,66.147354,13.649081,0.4317608
CD-Abell-2218,2HERMES S350 SF J163526.6+661627,248.86104,66.2744,0,5.3224945
CD-Abell-2218,2HERMES S350 SF J163527.3+660233,248.86388,66.04255,2.5274646,0.5698918
CD-Abell-2218,2HERMES S350 SF J163527.5+660515,248.86496,66.08777,17.93458,0.63181317
CD-Abell-2218,2HERMES S350 SF J163527.5+660604,248.86494,66.10118,11.545086,0.5340046
CD-Abell-2218,2HERMES S350 SF J163527.7+661911,248.8657,66.31993,8.336454,0.5016304
CD-Abell-2218,2HERMES S350 SF J163528.1+660748,248.8675,66.13006,10.233905,0.44874266
CD-Abell-2218,2HERMES S350 SF J163528.9+661126,248.87059,66.19062,15.21458,0.40040046
CD-Abell-2218,2HERMES S350 SF J163530.0+660929,248.87509,66.158264,5.714983,0.42336717
CD-Abell-2218,2HERMES S350 SF J163530.2+660857,248.87611,66.149376,8.362293,0.42466134
CD-Abell-2218,2HERMES S350 SF J163530.2+661013,248.87587,66.170555,16.148018,0.41117045
CD-Abell-2218,2HERMES S350 SF J163530.3+660502,248.87636,66.08396,40.132893,0.54499215
CD-Abell-2218,2HERMES S350 SF J163530.3+661431,248.87666,66.24195,11.287637,0.40675238
CD-Abell-2218,2HERMES S350 SF J163530.7+661519,248.8781,66.25543,17.804504,0.40921155
CD-Abell-2218,2HERMES S350 SF J163530.8+661049,248.8784,66.180336,17.96637,0.41202748
CD-Abell-2218,2HERMES S350 SF J163530.9+661628,248.87878,66.27467,22.751808,0.39677215
CD-Abell-2218,2HERMES S350 SF J163531.2+661330,248.88022,66.22508,27.534683,0.38350585
CD-Abell-2218,2HERMES S350 SF J163531.4+661954,248.88095,66.33182,16.80824,0.5306845
CD-Abell-2218,2HERMES S350 SF J163532.5+660423,248.88576,66.07331,20.858366,0.54875445
CD-Abell-2218,2HERMES S350 SF J163532.6+660745,248.88597,66.129425,9.161374,0.46319923
