#REFERENCE 3 39.9711520 -1.5822620
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   450  -469.677   511.523   694.444     0.003     0.003     1.000      0.00  -960369.1  -86375.6    ++
   449  1051.329  1265.646  1645.342     0.001     0.001     1.000      0.00  -1413945.9       0.0    ++
   446   333.860  -274.907   432.477     0.006     0.006     1.001      0.00  -759273.4  654672.5    ++
   445     0.590   101.029   101.031     0.051     0.051     1.051      0.05  -161555.9  1252390.0    ++
   443  -424.102   184.134   462.350     0.005     0.005     1.000      0.00  -773839.8  640106.1    ++
   442  -616.994   760.152   979.037     0.001     0.001     1.000      0.00  -1137177.2  276768.8    ++
   440   -16.936   455.840   456.155     0.006     0.006     1.001      0.00  -732004.4  681941.5    ++
   431  1119.202   841.400  1400.203     0.001     0.001     1.000      0.00  -1329475.1       0.0    ++
   423   906.344  1100.492  1425.673     0.001     0.001     1.000      0.00  -1335636.0       0.0    ++
   422  -196.483  1302.988  1317.719     0.001     0.001     1.000      0.00  -1288763.8   46872.2    ++
   420   623.533  -406.260   744.205     0.002     0.002     1.000      0.00  -1016454.9  319181.2    ++
   419   535.502  1228.931  1340.535     0.001     0.001     1.000      0.00  -1298661.6       0.0    ++
   418  -131.111   -13.569   131.811     0.026     0.026     1.011      0.01  -310855.5  987806.1    ++
   415  1577.042   961.168  1846.864     0.000     0.000     1.000      0.00  -1481375.7  -182714.1    ++
   412   821.230  1360.204  1588.890     0.001     0.001     1.000      0.00  -1393040.8  -94379.2    ++
   409  -276.124   587.965   649.575     0.003     0.003     1.000      0.00  -917918.6       0.0    ++
   407   628.948   311.576   701.894     0.003     0.003     1.000      0.00  -970966.2  -53047.6    ++
   406  1008.667   905.442  1355.447     0.001     0.001     1.000      0.00  -1310524.5  -392605.9    ++
   405   935.496  1505.896  1772.815     0.000     0.000     1.000      0.00  -1453397.0  -535478.3    ++
   399    88.585  -132.489   159.376     0.022     0.022     1.008      0.01  -377961.0       0.0    ++
   398  1217.153   759.781  1434.827     0.001     0.001     1.000      0.00  -1344028.1  -966067.2    ++
   397  -184.090   -16.375   184.817     0.018     0.019     1.005      0.01  -414424.8  -36463.8    ++
   391   870.472  1339.899  1597.827     0.001     0.001     1.000      0.00  -1396483.1  -1018522.2    ++
   390   704.744  -691.515   987.348     0.001     0.001     1.000      0.00  -1159084.3  -781123.3    ++
   389  -462.448  -494.504   677.047     0.003     0.003     1.000      0.00  -967287.2       0.0    ++
   387   -45.902   995.262   996.320     0.001     0.001     1.000      0.00  -1136504.4  -169217.1    ++
   386  -393.642  -651.628   761.297     0.002     0.002     1.000      0.00  -1024178.4  -56891.2    ++
   385  1293.832  -359.428  1342.829     0.001     0.001     1.000      0.00  -1318417.4  -351130.2    ++
   384  1208.356   -54.508  1209.585     0.001     0.001     1.000      0.00  -1261423.9  -294136.7    ++
   382  -566.214  -756.822   945.187     0.001     0.001     1.000      0.00  -1134184.8  -166897.6    ++
   381  -511.349   -14.841   511.564     0.004     0.004     1.000      0.00  -831047.6  136239.6    ++
   377  1146.931  1672.825  2028.249     0.000     0.000     1.000      0.00  -1528147.3       0.0    ++
   375   369.490   608.324   711.745     0.003     0.003     1.000      0.00  -962860.5  565286.8    ++
   374   340.211  1466.471  1505.417     0.001     0.001     1.000      0.00  -1360978.1  167169.2    ++
