Field,IAU,RA,Dec,F500,e_F500
CS-Abell-370,2HERMES S500 SF J024003.9-012515,40.016426,-1.4209685,7.878148,2.0255282
CS-Abell-370,2HERMES S500 SF J024003.9-013403,40.016304,-1.5675536,11.476086,0.84145135
CS-Abell-370,2HERMES S500 SF J024004.0-012820,40.016964,-1.4722654,9.549131,1.2376523
CS-Abell-370,2HERMES S500 SF J024005.1-012705,40.02133,-1.4513956,16.85453,1.6519039
CS-Abell-370,2HERMES S500 SF J024005.4-012849,40.0229,-1.4805392,28.877495,1.2456495
CS-Abell-370,2HERMES S500 SF J024005.9-013633,40.024834,-1.6092534,14.265407,0.93080103
CS-Abell-370,2HERMES S500 SF J024006.6-013019,40.02779,-1.5053035,11.30047,1.3914633
CS-Abell-370,2HERMES S500 SF J024006.7-012602,40.028103,-1.4340476,17.828243,2.113182
CS-Abell-370,2HERMES S500 SF J024006.8-014145,40.02844,-1.6960956,19.90839,2.581291
CS-Abell-370,2HERMES S500 SF J024007.6-013511,40.031975,-1.5864439,9.682383,0.9550726
CS-Abell-370,2HERMES S500 SF J024008.5-012838,40.035656,-1.4772348,19.071688,3.0698502
CS-Abell-370,2HERMES S500 SF J024009.7-013320,40.040638,-1.5556619,11.417793,0.9197554
CS-Abell-370,2HERMES S500 SF J024011.7-013419,40.049152,-1.5720822,9.218723,0.96500343
CS-Abell-370,2HERMES S500 SF J024013.8-013706,40.057663,-1.6185318,7.788471,1.1863441
CS-Abell-370,2HERMES S500 SF J024013.8-013742,40.057777,-1.6284125,19.510656,1.1867275
CS-Abell-370,2HERMES S500 SF J024013.9-013305,40.057987,-1.5514084,15.270301,1.1618538
CS-Abell-370,2HERMES S500 SF J024015.0-013106,40.062572,-1.5184735,6.2878537,1.8829321
CS-Abell-370,2HERMES S500 SF J024018.1-013523,40.07551,-1.5898082,19.485111,1.1759439
CS-Abell-370,2HERMES S500 SF J024020.7-013849,40.08649,-1.6471512,9.591289,1.4985664
CS-Abell-370,2HERMES S500 SF J024024.5-013851,40.102173,-1.6477004,15.62909,1.6076635
