Field,IAU,RA,Dec,F250,e_F250
CS-Abell-370,2HERMES S250 SF J023939.7-013441,39.915417,-1.5780878,4.016967,0.73076
CS-Abell-370,2HERMES S250 SF J023939.8-012937,39.91588,-1.4937154,0,7.8171487
CS-Abell-370,2HERMES S250 SF J023939.8-013030,39.91586,-1.5084299,31.434998,0.85186166
CS-Abell-370,2HERMES S250 SF J023939.9-013539,39.91647,-1.5942011,0,11.876087
CS-Abell-370,2HERMES S250 SF J023940.0-013119,39.916897,-1.5220896,28.55848,0.78568715
CS-Abell-370,2HERMES S250 SF J023940.0-013640,39.916843,-1.611112,1.4992542,0.80793923
CS-Abell-370,2HERMES S250 SF J023940.1-012910,39.91735,-1.4861853,0,3.0585117
CS-Abell-370,2HERMES S250 SF J023940.1-013345,39.917297,-1.562721,28.416397,0.7251401
CS-Abell-370,2HERMES S250 SF J023940.1-013702,39.91709,-1.6173171,0,5.6785355
CS-Abell-370,2HERMES S250 SF J023940.3-013401,39.918266,-1.5670662,0,12.518585
CS-Abell-370,2HERMES S250 SF J023940.4-013722,39.91873,-1.6228456,37.62822,0.7852203
CS-Abell-370,2HERMES S250 SF J023940.4-013757,39.918335,-1.6325297,0,2.3706987
CS-Abell-370,2HERMES S250 SF J023940.6-013905,39.919277,-1.651653,0,12.365219
CS-Abell-370,2HERMES S250 SF J023940.6-013926,39.919537,-1.6572332,0,7.249482
CS-Abell-370,2HERMES S250 SF J023940.8-012805,39.92039,-1.4682378,0,8.061003
CS-Abell-370,2HERMES S250 SF J023940.9-013324,39.92045,-1.5567453,0,7.3580103
CS-Abell-370,2HERMES S250 SF J023941.0-013220,39.921146,-1.5390323,9.076267,0.71440506
CS-Abell-370,2HERMES S250 SF J023941.3-013850,39.92214,-1.6474137,50.54519,0.83082366
CS-Abell-370,2HERMES S250 SF J023941.5-013134,39.923214,-1.5261904,7.930082,0.9979771
CS-Abell-370,2HERMES S250 SF J023941.5-013841,39.92296,-1.6448964,0,21.189571
CS-Abell-370,2HERMES S250 SF J023941.5-014207,39.92324,-1.7020657,8.205088,1.0644836
CS-Abell-370,2HERMES S250 SF J023942.0-013525,39.925243,-1.5903755,0,0.7931232
CS-Abell-370,2HERMES S250 SF J023942.1-013605,39.92561,-1.601401,1.8758621,0.7479659
CS-Abell-370,2HERMES S250 SF J023942.2-012747,39.926006,-1.4631325,19.291819,1.5085158
CS-Abell-370,2HERMES S250 SF J023942.4-014034,39.926785,-1.6762447,0,2.6918535
CS-Abell-370,2HERMES S250 SF J023942.5-013051,39.927097,-1.5141965,8.203422,0.8065146
CS-Abell-370,2HERMES S250 SF J023943.0-013000,39.929214,-1.5001535,0,7.812589
CS-Abell-370,2HERMES S250 SF J023943.1-013314,39.929962,-1.5539343,0,8.557505
CS-Abell-370,2HERMES S250 SF J023943.1-013853,39.92997,-1.648154,31.192816,0.81409675
CS-Abell-370,2HERMES S250 SF J023943.1-014449,39.929806,-1.7471403,58.205677,1.9791957
CS-Abell-370,2HERMES S250 SF J023943.2-013443,39.930206,-1.578679,7.5105934,0.6775116
CS-Abell-370,2HERMES S250 SF J023943.4-013513,39.93103,-1.5871115,0,7.331739
CS-Abell-370,2HERMES S250 SF J023943.5-013336,39.931313,-1.5600432,0,11.678164
CS-Abell-370,2HERMES S250 SF J023943.7-013900,39.93218,-1.6502341,0,19.462412
CS-Abell-370,2HERMES S250 SF J023943.8-013251,39.932865,-1.5475521,0,11.581539
CS-Abell-370,2HERMES S250 SF J023944.0-014045,39.9334,-1.6791769,4.4553223,0.92369306
CS-Abell-370,2HERMES S250 SF J023944.1-012925,39.933765,-1.4905269,6.1266313,0.9704391
CS-Abell-370,2HERMES S250 SF J023944.2-014120,39.934395,-1.6889106,0,8.743872
CS-Abell-370,2HERMES S250 SF J023944.3-013605,39.93482,-1.6015044,4.054912,0.70084614
CS-Abell-370,2HERMES S250 SF J023944.7-014150,39.93662,-1.6974448,31.539488,1.0491332
CS-Abell-370,2HERMES S250 SF J023944.8-013525,39.936954,-1.5903039,5.3458495,0.6732622
CS-Abell-370,2HERMES S250 SF J023944.8-013626,39.936905,-1.60731,2.3130963,0.7153873
CS-Abell-370,2HERMES S250 SF J023944.9-012651,39.937176,-1.4475054,0,5.2418156
CS-Abell-370,2HERMES S250 SF J023944.9-013655,39.93717,-1.6155007,0,2.1364489
CS-Abell-370,2HERMES S250 SF J023944.9-013802,39.937256,-1.634134,0,3.067619
CS-Abell-370,2HERMES S250 SF J023945.2-013336,39.93872,-1.5602596,0,12.415838
CS-Abell-370,2HERMES S250 SF J023945.4-013324,39.939564,-1.5566968,22.19037,0.6602012
CS-Abell-370,2HERMES S250 SF J023945.5-013731,39.93961,-1.6253586,10.564105,0.728839
CS-Abell-370,2HERMES S250 SF J023945.6-013023,39.940285,-1.5063909,13.667084,0.845577
CS-Abell-370,2HERMES S250 SF J023945.6-013244,39.940376,-1.5456142,52.67889,0.67458504
CS-Abell-370,2HERMES S250 SF J023945.8-014237,39.94124,-1.7103308,0,6.6367335
CS-Abell-370,2HERMES S250 SF J023946.0-013839,39.94185,-1.6443627,31.545021,0.8039036
CS-Abell-370,2HERMES S250 SF J023946.0-013935,39.941967,-1.6599319,8.813967,0.8696402
CS-Abell-370,2HERMES S250 SF J023946.1-013523,39.942287,-1.5899749,0,8.8447695
CS-Abell-370,2HERMES S250 SF J023946.1-014008,39.94236,-1.669103,4.214964,0.9290549
CS-Abell-370,2HERMES S250 SF J023946.2-013405,39.9428,-1.5682447,3.1555674,0.66581213
CS-Abell-370,2HERMES S250 SF J023946.3-014052,39.94308,-1.6812853,25.480593,0.97793084
CS-Abell-370,2HERMES S250 SF J023946.3-014114,39.94304,-1.6874335,0,11.403269
CS-Abell-370,2HERMES S250 SF J023946.4-013652,39.943565,-1.6146673,7.1135116,0.72720194
CS-Abell-370,2HERMES S250 SF J023946.5-013218,39.94393,-1.5385787,28.999203,0.68766904
CS-Abell-370,2HERMES S250 SF J023946.6-012642,39.944386,-1.4450011,11.6787,1.7322382
CS-Abell-370,2HERMES S250 SF J023947.1-013334,39.946503,-1.5594848,28.214848,0.6663802
CS-Abell-370,2HERMES S250 SF J023947.2-012932,39.946796,-1.492363,6.2275043,0.911633
CS-Abell-370,2HERMES S250 SF J023947.2-013124,39.946903,-1.5233423,5.946448,0.7439928
CS-Abell-370,2HERMES S250 SF J023947.2-013517,39.946754,-1.5880883,0,6.9113812
CS-Abell-370,2HERMES S250 SF J023947.2-013759,39.946716,-1.6331074,3.671631,0.7540636
CS-Abell-370,2HERMES S250 SF J023947.3-013735,39.947327,-1.6264651,0,3.7399876
CS-Abell-370,2HERMES S250 SF J023947.3-014114,39.947266,-1.687417,0,8.232297
CS-Abell-370,2HERMES S250 SF J023947.4-012734,39.94785,-1.459577,8.148968,1.2502587
CS-Abell-370,2HERMES S250 SF J023947.4-014049,39.947815,-1.6805046,0,8.810889
CS-Abell-370,2HERMES S250 SF J023947.6-013537,39.94845,-1.5936668,0,5.3694897
CS-Abell-370,2HERMES S250 SF J023947.6-014009,39.94842,-1.6692948,6.301137,0.9337254
CS-Abell-370,2HERMES S250 SF J023947.7-013153,39.948753,-1.5315995,0,3.5407174
CS-Abell-370,2HERMES S250 SF J023947.7-013559,39.94877,-1.5997447,0,4.8279786
