   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME
    49  -374.061  -642.934   743.926     0.014     0.014     1.001      0.00  -954323.3       0.0
    48   235.419  -716.335   753.045     0.013     0.013     1.001      0.00  -961819.0   -7495.7
    47   530.923  -847.800   999.129     0.008     0.008     1.000      0.00  -1104216.2  -149892.9
    46  -143.299    -6.721   144.683     0.140     0.142     1.059      0.06  -280634.3  673688.9
    45   750.466   802.444  1098.286     0.007     0.007     1.000      0.00  -1134900.0  -180576.7
    44   639.805    84.196   644.158     0.017     0.017     1.001      0.00  -880590.7   73732.6
    43  -568.005  -252.867   622.643     0.018     0.018     1.001      0.00  -870180.7   84142.6
    42   765.022  -897.014  1177.650     0.006     0.006     1.000      0.00  -1188592.5  -234269.3
    41   682.021   662.657   950.464     0.009     0.009     1.001      0.00  -1060378.1  -106054.9
    40  -337.548  -101.281   353.440     0.045     0.045     1.006      0.01  -612740.3  341583.0
    39  -446.785   374.713   584.480     0.021     0.021     1.002      0.00  -820591.7       0.0
    38  -146.668   520.736   541.937     0.027     0.027     1.004      0.00  -765585.8   55005.9
    37  -434.539   400.927   592.586     0.021     0.021     1.002      0.00  -825884.8   -5293.2
    36  -556.700  -816.758   988.631     0.008     0.008     1.000      0.00  -1096452.4  -275860.7
    35   444.801   870.538   977.575     0.009     0.009     1.001      0.00  -1068691.8  -248100.1
    34   506.374   218.043   550.418     0.023     0.023     1.002      0.00  -796973.6   23618.0
   476  -374.536  -854.298   932.728     0.011     0.011     1.001      0.00  -1066071.7       0.0
   475   520.555  -818.719   968.997     0.010     0.010     1.001      0.00  -1088550.1  -22478.4
   474  -146.871   734.440   749.838     0.018     0.018     1.002      0.00  -928337.4  137734.3
   473   278.804  -265.995   384.000     0.048     0.048     1.007      0.01  -652795.7  413275.9
   472   406.755  -575.927   703.851     0.018     0.018     1.001      0.00  -930662.9  135408.8
   471   287.568  -276.831   397.827     0.046     0.046     1.006      0.01  -668127.9  397943.8
   470   332.901  -114.630   350.695     0.055     0.055     1.007      0.01  -611323.9  454747.8
   469   636.274    87.359   641.085     0.021     0.021     1.001      0.00  -877595.9       0.0
   468   308.699   -34.636   309.320     0.067     0.067     1.010      0.01  -553951.5  323644.4
   467  -875.085    35.796   877.097     0.012     0.012     1.000      0.00  -1034856.4  -157260.4
   466  -638.009   272.191   695.043     0.019     0.019     1.001      0.00  -912968.5  -35372.6
   465   316.994  -782.794   843.496     0.013     0.013     1.001      0.00  -1017917.9  -140321.9
   464  -643.253   381.845   749.447     0.017     0.017     1.001      0.00  -947472.8  -69876.8
   463   299.554  -451.420   540.556     0.028     0.028     1.003      0.00  -805084.1   72511.9
   462   821.252  -254.137   858.292     0.012     0.012     1.001      0.00  -1027840.9  -150244.9
   461   492.816   642.597   809.545     0.015     0.015     1.001      0.00  -973668.1  -96072.2
   460  -715.922  -138.685   730.345     0.017     0.017     1.001      0.00  -945971.3  -68375.4
   459  -492.511   -59.660   497.283     0.032     0.032     1.003      0.00  -761903.3       0.0
   458  -524.140   443.088   687.691     0.020     0.020     1.001      0.00  -900257.4  -138354.1
   457  -330.874  -296.955   445.109     0.039     0.039     1.005      0.01  -713310.6   48592.7
   456   809.465   500.357   950.885     0.011     0.011     1.001      0.00  -1065249.5  -303346.2
   455   -92.004    23.514    96.332     0.253     0.262     1.198      0.20  -158926.6  602976.7
   454  -614.807  -558.330   831.006     0.013     0.013     1.001      0.00  -1009976.4  -248073.1
   453   774.350   337.849   843.942     0.013     0.013     1.001      0.00  -1007550.2  -245646.9
   452   440.736   287.118   525.297     0.032     0.032     1.003      0.00  -767820.0   -5916.7
   451  -463.461  -383.310   602.006     0.024     0.024     1.002      0.00  -853237.0  -91333.7
   450   362.839  -672.970   763.410     0.016     0.016     1.001      0.00  -969448.1  -207544.8
   449   203.632   583.369   618.063     0.026     0.026     1.003      0.00  -828866.7       0.0
   448   351.893  -205.866   406.291     0.044     0.044     1.005      0.01  -676970.0  151896.7
